item_index,image_word,condition,average_rating
0,library,congruent,4.230769230769231
0,refrigerator,congruent,3.769230769230769
0,library,incongruent,1.1666666666666667
0,refrigerator,incongruent,1.3846153846153846
1,delight,congruent,4.384615384615385
1,disappointment,congruent,3.923076923076923
1,delight,incongruent,1.3333333333333333
1,disappointment,incongruent,1.0769230769230769
2,overcoat,congruent,3.230769230769231
2,sandals,congruent,3.75
2,overcoat,incongruent,1.2307692307692308
2,sandals,incongruent,1.3076923076923077
3,exam,congruent,4.076923076923077
3,marathon,congruent,3.923076923076923
3,exam,incongruent,1.3333333333333333
3,marathon,incongruent,2.230769230769231
4,menu,congruent,2.923076923076923
4,prescription,congruent,4.153846153846154
4,menu,incongruent,1.3333333333333333
4,prescription,incongruent,1.3846153846153846
5,distress,congruent,4.615384615384615
5,tranquility,congruent,4.416666666666667
5,distress,incongruent,1.0769230769230769
5,tranquility,incongruent,1.5384615384615385
6,patients,congruent,4.461538461538462
6,students,congruent,3.1666666666666665
6,patients,incongruent,1.3846153846153846
6,students,incongruent,1.3846153846153846
7,consensus,congruent,4.076923076923077
7,deadlock,congruent,3.4615384615384617
7,consensus,incongruent,1.75
7,deadlock,incongruent,1.9230769230769231
8,engagement,congruent,3.5384615384615383
8,miscarriage,congruent,3.4615384615384617
8,engagement,incongruent,1.1666666666666667
8,miscarriage,incongruent,1.8461538461538463
9,classroom,congruent,4.666666666666667
9,terminal,congruent,4.3076923076923075
9,classroom,incongruent,2.5384615384615383
9,terminal,incongruent,1.0769230769230769
10,cash,congruent,4.538461538461538
10,groceries,congruent,4.5
10,cash,incongruent,1.6923076923076923
10,groceries,incongruent,1.6153846153846154
11,confident,congruent,4.0
11,lonely,congruent,4.384615384615385
11,confident,incongruent,2.1538461538461537
11,lonely,incongruent,1.8461538461538463
12,joy,congruent,4.75
12,outrage,congruent,4.461538461538462
12,joy,incongruent,1.2307692307692308
12,outrage,incongruent,1.6923076923076923
13,snowstorm,congruent,4.6923076923076925
13,traffic,congruent,4.666666666666667
13,snowstorm,incongruent,2.0
13,traffic,incongruent,1.1538461538461537
14,frustration,congruent,4.615384615384615
14,laughter,congruent,4.846153846153846
14,frustration,incongruent,1.1666666666666667
14,laughter,incongruent,1.3846153846153846
15,calculator,congruent,3.1538461538461537
15,instrument,congruent,3.4615384615384617
15,calculator,incongruent,1.8333333333333333
15,instrument,incongruent,1.3846153846153846
16,orchestra,congruent,3.8333333333333335
16,racers,congruent,3.923076923076923
16,orchestra,incongruent,2.4615384615384617
16,racers,incongruent,1.2307692307692308
17,playdate,congruent,3.769230769230769
17,retirement,congruent,3.75
17,playdate,incongruent,1.0769230769230769
17,retirement,incongruent,1.7692307692307692
18,depressed,congruent,4.076923076923077
18,relieved,congruent,3.923076923076923
18,depressed,incongruent,2.6666666666666665
18,relieved,incongruent,1.0769230769230769
19,friends,congruent,2.923076923076923
19,weight,congruent,3.4166666666666665
19,friends,incongruent,1.6153846153846154
19,weight,incongruent,1.6923076923076923
20,lipstick,congruent,4.0
20,song,congruent,4.6923076923076925
20,lipstick,incongruent,1.8461538461538463
20,song,incongruent,1.3076923076923077
21,fought,congruent,4.6923076923076925
21,sang,congruent,4.076923076923077
21,fought,incongruent,1.4615384615384615
21,sang,incongruent,1.25
22,reassured,congruent,3.5384615384615383
22,skeptical,congruent,4.166666666666667
22,reassured,incongruent,1.2307692307692308
22,skeptical,incongruent,1.5384615384615385
23,graduation,congruent,4.833333333333333
23,operation,congruent,4.384615384615385
23,graduation,incongruent,1.3846153846153846
23,operation,incongruent,1.0769230769230769
24,aftermath,congruent,4.538461538461538
24,bride,congruent,3.8461538461538463
24,aftermath,incongruent,1.9230769230769231
24,bride,incongruent,2.25
25,daughter,congruent,4.538461538461538
25,teacher,congruent,4.461538461538462
25,daughter,incongruent,2.8461538461538463
25,teacher,incongruent,1.4166666666666667
26,grandma,congruent,4.666666666666667
26,roommate,congruent,4.153846153846154
26,grandma,incongruent,1.5384615384615385
26,roommate,incongruent,1.0769230769230769
27,brother,congruent,4.615384615384615
27,mother,congruent,3.769230769230769
27,brother,incongruent,1.25
27,mother,incongruent,1.6153846153846154
28,preschool,congruent,4.230769230769231
28,prison,congruent,4.3076923076923075
28,preschool,incongruent,1.0833333333333333
28,prison,incongruent,1.6153846153846154
29,hopeful,congruent,3.5384615384615383
29,hopeless,congruent,4.076923076923077
29,hopeful,incongruent,1.2307692307692308
29,hopeless,incongruent,1.5833333333333333
30,appalled,congruent,4.153846153846154
30,overjoyed,congruent,4.3076923076923075
30,appalled,incongruent,2.923076923076923
30,overjoyed,incongruent,2.0833333333333335
31,encouragement,congruent,4.538461538461538
31,reprimand,congruent,4.384615384615385
31,encouragement,incongruent,1.3333333333333333
31,reprimand,incongruent,1.3076923076923077
32,angrily,congruent,4.615384615384615
32,cordially,congruent,4.25
32,angrily,incongruent,1.3076923076923077
32,cordially,incongruent,1.1538461538461537
33,accusatory,congruent,4.769230769230769
33,flirtatious,congruent,3.5384615384615383
33,accusatory,incongruent,1.25
33,flirtatious,incongruent,1.8461538461538463
34,disapprovingly,congruent,4.230769230769231
34,lovingly,congruent,4.25
34,disapprovingly,incongruent,1.0
34,lovingly,incongruent,1.1538461538461537
35,distant,congruent,4.0
35,playful,congruent,4.153846153846154
35,distant,incongruent,1.7692307692307692
35,playful,incongruent,1.5
36,headphones,congruent,4.0
36,mangoes,congruent,3.9166666666666665
36,headphones,incongruent,1.2307692307692308
36,mangoes,incongruent,1.2307692307692308
37,park,congruent,4.75
37,playroom,congruent,4.461538461538462
37,park,incongruent,1.8461538461538463
37,playroom,incongruent,1.3846153846153846
38,backyard,congruent,4.666666666666667
38,bedroom,congruent,4.615384615384615
38,backyard,incongruent,1.0769230769230769
38,bedroom,incongruent,1.0769230769230769
39,excitedly,congruent,4.153846153846154
39,solemnly,congruent,4.0
39,excitedly,incongruent,1.75
39,solemnly,incongruent,2.076923076923077
40,car,congruent,3.3076923076923075
40,sock,congruent,3.6923076923076925
40,car,incongruent,1.3846153846153846
40,sock,incongruent,1.5833333333333333
41,naked,congruent,3.769230769230769
41,overdressed,congruent,4.076923076923077
41,naked,incongruent,1.3333333333333333
41,overdressed,incongruent,1.3076923076923077
42,lively,congruent,4.384615384615385
42,shy,congruent,4.461538461538462
42,lively,incongruent,1.5384615384615385
42,shy,incongruent,1.0833333333333333
43,flattered,congruent,4.5
43,offended,congruent,4.0
43,flattered,incongruent,1.5384615384615385
43,offended,incongruent,1.9230769230769231
44,cellmate,congruent,4.666666666666667
44,grandkid,congruent,4.3076923076923075
44,cellmate,incongruent,1.3076923076923077
44,grandkid,incongruent,1.1538461538461537
45,fired,congruent,4.6923076923076925
45,promoted,congruent,4.0
45,fired,incongruent,1.7692307692307692
45,promoted,incongruent,2.0
46,celebration,congruent,4.153846153846154
46,shooting,congruent,3.3846153846153846
46,celebration,incongruent,1.5
46,shooting,incongruent,1.3846153846153846
47,beer,congruent,4.3076923076923075
47,crayon,congruent,3.75
47,beer,incongruent,1.5384615384615385
47,crayon,incongruent,1.3076923076923077
48,taxi,congruent,4.230769230769231
48,waiter,congruent,4.461538461538462
48,taxi,incongruent,1.6923076923076923
48,waiter,incongruent,1.1666666666666667
49,keys,congruent,4.230769230769231
49,parents,congruent,4.25
49,keys,incongruent,1.0769230769230769
49,parents,incongruent,1.3076923076923077
50,sky,congruent,4.384615384615385
50,sofa,congruent,4.615384615384615
50,sky,incongruent,2.1538461538461537
50,sofa,incongruent,1.1666666666666667
51,homework,congruent,4.615384615384615
51,obesity,congruent,3.923076923076923
51,homework,incongruent,1.4166666666666667
51,obesity,incongruent,1.2307692307692308
52,commute,congruent,4.769230769230769
52,quiz,congruent,4.833333333333333
52,commute,incongruent,1.3846153846153846
52,quiz,incongruent,1.4615384615384615
53,excitement,congruent,4.666666666666667
53,migraine,congruent,4.384615384615385
53,excitement,incongruent,1.3076923076923077
53,migraine,incongruent,1.3846153846153846
54,husband,congruent,4.3076923076923075
54,niece,congruent,4.384615384615385
54,husband,incongruent,2.5384615384615383
54,niece,incongruent,1.75
55,film,congruent,4.166666666666667
55,sunrise,congruent,4.0
55,film,incongruent,1.6153846153846154
55,sunrise,incongruent,1.3846153846153846
56,banquet,congruent,4.153846153846154
56,lecture,congruent,4.769230769230769
56,banquet,incongruent,1.5833333333333333
56,lecture,incongruent,1.2307692307692308
57,drink,congruent,4.384615384615385
57,textbook,congruent,4.153846153846154
57,drink,incongruent,1.1666666666666667
57,textbook,incongruent,1.3846153846153846
58,pool,congruent,4.615384615384615
58,snow,congruent,2.6153846153846154
58,pool,incongruent,1.0833333333333333
58,snow,incongruent,1.6153846153846154
59,passport,congruent,3.0
59,plushy,congruent,4.583333333333333
59,passport,incongruent,1.8461538461538463
59,plushy,incongruent,1.3076923076923077
60,father,congruent,4.6923076923076925
60,sister,congruent,4.75
60,father,incongruent,1.8461538461538463
60,sister,incongruent,1.6923076923076923
61,game,congruent,4.384615384615385
61,sunset,congruent,4.230769230769231
61,game,incongruent,1.9166666666666667
