layer_index,coefficient,se,p_value,p_value_fdr,significant_fdr
0,0.46101116579353,0.15654514331695124,0.003549326623813724,0.003549326623813724,True
1,0.9415782453692774,0.14231663739003528,2.3981113345516505e-10,2.466628801253126e-10,True
2,1.2540002233825214,0.0890917574697609,3.541497026296362e-33,3.863451301414214e-33,True
3,1.2626669478336106,0.08956818983957734,2.9898703021256802e-33,3.3636040898913907e-33,True
4,1.2468704814907683,0.09230449134939493,2.8209077571365836e-31,2.9868435075563825e-31,True
5,1.354066519570608,0.07671809905249734,3.394929434742655e-45,4.0739153216911856e-45,True
6,1.3918712990596038,0.07688400357953999,1.0454746695260724e-46,1.2978306242392623e-46,True
7,1.3466962601478298,0.07758153508202875,3.197350196408199e-44,3.713051840990166e-44,True
8,1.4514316511837544,0.06718928786272041,4.103410161467395e-58,5.275813064743793e-58,True
9,1.4850988607350837,0.061563181673254724,5.564360861569708e-66,7.419147815426278e-66,True
10,1.499547442174931,0.06034079635668052,3.427433446726153e-68,4.7456770800823655e-68,True
11,1.5073438502107268,0.058321711437379305,3.6612019121243536e-71,5.272130753459069e-71,True
12,1.5223234707708373,0.05447963451069101,2.9526169141968756e-77,4.4289253712953134e-77,True
13,1.5834650887652528,0.038361379995226264,9.792418136438441e-111,2.2032940806986493e-110,True
14,1.587789889486023,0.035441739806580067,2.8884570657790234e-118,1.1553828263116094e-117,True
15,1.5704608373075566,0.03647773822366199,1.3702506815133326e-114,3.523501752462855e-114,True
16,1.5705461289745066,0.03508105181255882,3.347678682303841e-118,1.2051643256293827e-117,True
17,1.5666577941728281,0.03578857222635617,4.0029553885330333e-116,1.1085107229783784e-115,True
18,1.591086414350948,0.028743252963748446,2.71921496387385e-138,4.89458693497293e-137,True
19,1.5860418772601803,0.02893361161128839,2.373650277212454e-137,2.848380332654945e-136,True
20,1.5878071118247306,0.028358558618260116,2.1600657452302614e-139,7.776236682828942e-138,True
21,1.5808607002652801,0.03043866044780218,3.51726842462131e-132,3.1655415821591795e-131,True
22,1.5815441723591235,0.030824472402607838,5.072398031708034e-131,3.652126582829784e-130,True
23,1.584159542671137,0.03146707072277357,3.229554609958476e-129,1.9377327659750857e-128,True
24,1.5810076860793603,0.03341991026310731,2.392259345855494e-123,1.2303048064399682e-122,True
25,1.5807484013038657,0.034155633150205214,2.70933485022738e-121,1.2192006826023212e-120,True
26,1.5772221717865822,0.03537216177081687,7.902759711919571e-118,2.58635772390095e-117,True
27,1.5767076106081688,0.03598380746663784,3.2680818851006883e-116,9.804245655302066e-116,True
28,1.580870842172071,0.03736987874961813,5.60449576025781e-113,1.3450789824618745e-112,True
29,1.58025372690651,0.04020779078590454,2.6913550887533107e-106,5.699340187948187e-106,True
30,1.5873870703562627,0.04182067272994907,3.5289114196987826e-103,7.057822839397565e-103,True
31,1.589534045765719,0.04390891650659617,5.486234115669569e-99,9.875221408205224e-99,True
32,1.592718990860634,0.04393544500300926,4.13481326835306e-99,7.834383034774219e-99,True
33,1.5854439237581976,0.04490688674570806,8.539754668947441e-97,1.4639579432481327e-96,True
34,1.5785883611179736,0.047657144721512605,2.703920882505359e-91,4.424597807736042e-91,True
35,1.5738705299175524,0.05213026732657782,1.6026650016151148e-83,2.5085191329627886e-83,True
